Date,Amount,Change Amount,Description,Category
09-20-2020,13445.00,190.00,refund for 10-23-18,received
09-20-2020,13634.00,189.00,refund for 1-15-18,received
09-20-2020,13858.00,224.00,refund for 1-11-18,received
09-20-2020,14112.00,254.00,gift for 12-1-18,received
09-20-2020,14319.00,207.00,work for 2-8-18,received
09-20-2020,14607.00,288.00,refund for 8-7-18,received
09-20-2020,14737.00,130.00,gift for 2-2-18,received
09-20-2020,14839.00,102.00,refund for 4-11-18,received
09-20-2020,13839.00,-1000.00,rent for 1-1-19,spent
09-20-2020,16654.00,2815.00,work for 1-11-19,received
09-20-2020,15654.00,-1000.00,rent for 2-1-19,spent
09-20-2020,17768.00,2114.00,work for 2-11-19,received
09-20-2020,16768.00,-1000.00,rent for 3-1-19,spent
09-20-2020,19009.00,2241.00,work for 3-11-19,received
09-20-2020,18009.00,-1000.00,rent for 4-1-19,spent
09-20-2020,20861.00,2852.00,work for 4-11-19,received
09-20-2020,19861.00,-1000.00,rent for 5-1-19,spent
09-20-2020,22505.00,2644.00,work for 5-11-19,received
09-20-2020,21505.00,-1000.00,rent for 6-1-19,spent
09-20-2020,23552.00,2047.00,work for 6-11-19,received
09-20-2020,22552.00,-1000.00,rent for 7-1-19,spent
09-20-2020,24682.00,2130.00,work for 7-11-19,received
09-20-2020,23682.00,-1000.00,rent for 8-1-19,spent
09-20-2020,26320.00,2638.00,work for 8-11-19,received
09-20-2020,25320.00,-1000.00,rent for 9-1-19,spent
09-20-2020,27472.00,2152.00,work for 9-11-19,received
09-20-2020,26472.00,-1000.00,rent for 10-1-19,spent
09-20-2020,29186.00,2714.00,work for 10-11-19,received
09-20-2020,28186.00,-1000.00,rent for 11-1-19,spent
09-20-2020,31122.00,2936.00,work for 11-11-19,received
09-20-2020,30122.00,-1000.00,rent for 12-1-19,spent
09-20-2020,32446.00,2324.00,work for 12-11-19,received
09-20-2020,32303.00,-143.00,gas for 11-9-19,spent
09-20-2020,32287.00,-16.00,hat for 12-7-19,spent
09-20-2020,32223.00,-64.00,bills for 10-6-19,spent
09-20-2020,32065.00,-158.00,blanket for 11-5-19,spent
09-20-2020,31980.00,-85.00,confetti for 7-5-19,spent
09-20-2020,31864.00,-116.00,gas for 9-25-19,spent
09-20-2020,31686.00,-178.00,hat for 12-15-19,spent
09-20-2020,31678.00,-8.00,gas for 11-26-19,spent
09-20-2020,31577.00,-101.00,hat for 2-7-19,spent
09-20-2020,31535.00,-42.00,hat for 4-14-19,spent
09-20-2020,31422.00,-113.00,gas for 7-20-19,spent
09-20-2020,31408.00,-14.00,confetti for 10-19-19,spent
09-20-2020,31233.00,-175.00,gas for 9-17-19,spent
09-20-2020,31093.00,-140.00,antifreeze for 7-11-19,spent
09-20-2020,31043.00,-50.00,blanket for 11-19-19,spent
09-20-2020,30975.00,-68.00,hat for 4-18-19,spent
09-20-2020,30868.00,-107.00,car for 7-23-19,spent
09-20-2020,30799.00,-69.00,blanket for 4-8-19,spent
09-20-2020,30691.00,-108.00,bills for 11-3-19,spent
09-20-2020,30605.00,-86.00,confetti for 8-18-19,spent
09-20-2020,30562.00,-43.00,blanket for 5-14-19,spent
09-20-2020,30398.00,-164.00,hat for 9-8-19,spent
09-20-2020,30348.00,-50.00,groceries for 5-27-19,spent
09-20-2020,30189.00,-159.00,blanket for 7-19-19,spent
09-20-2020,30040.00,-149.00,antifreeze for 9-23-19,spent
09-20-2020,30016.00,-24.00,book for 9-9-19,spent
09-20-2020,29986.00,-30.00,antifreeze for 12-5-19,spent
09-20-2020,29976.00,-10.00,antifreeze for 11-8-19,spent
09-20-2020,29889.00,-87.00,confetti for 2-15-19,spent
09-20-2020,29820.00,-69.00,groceries for 12-6-19,spent
09-20-2020,29727.00,-93.00,confetti for 8-3-19,spent
09-20-2020,29642.00,-85.00,bills for 12-6-19,spent
09-20-2020,29551.00,-91.00,book for 12-2-19,spent
09-20-2020,29450.00,-101.00,gas for 8-16-19,spent
09-20-2020,29305.00,-145.00,antifreeze for 8-10-19,spent
09-20-2020,29198.00,-107.00,car for 9-23-19,spent
09-20-2020,29180.00,-18.00,blanket for 10-7-19,spent
09-20-2020,29080.00,-100.00,gas for 8-23-19,spent
09-20-2020,29047.00,-33.00,book for 6-14-19,spent
09-20-2020,29016.00,-31.00,blanket for 1-25-19,spent
09-20-2020,28854.00,-162.00,car for 4-8-19,spent
09-20-2020,28753.00,-101.00,bills for 2-16-19,spent
09-20-2020,28577.00,-176.00,gas for 6-2-19,spent
09-20-2020,28384.00,-193.00,car for 6-23-19,spent
09-20-2020,28355.00,-29.00,gas for 8-8-19,spent
09-20-2020,28211.00,-144.00,antifreeze for 4-23-19,spent
09-20-2020,28136.00,-75.00,confetti for 5-4-19,spent
09-20-2020,28090.00,-46.00,hat for 3-7-19,spent
09-20-2020,27894.00,-196.00,bills for 3-4-19,spent
09-20-2020,27841.00,-53.00,groceries for 7-22-19,spent
09-20-2020,27695.00,-146.00,antifreeze for 1-11-19,spent
09-20-2020,27666.00,-29.00,antifreeze for 9-9-19,spent
09-20-2020,27621.00,-45.00,car for 6-3-19,spent
09-20-2020,27451.00,-170.00,book for 1-7-19,spent
09-20-2020,27369.00,-82.00,book for 4-19-19,spent
09-20-2020,27335.00,-34.00,confetti for 7-18-19,spent
09-20-2020,27174.00,-161.00,car for 7-15-19,spent
09-20-2020,27147.00,-27.00,bills for 11-16-19,spent
09-20-2020,26979.00,-168.00,car for 5-17-19,spent
09-20-2020,26911.00,-68.00,confetti for 7-23-19,spent
09-20-2020,26743.00,-168.00,bills for 11-4-19,spent
09-20-2020,26636.00,-107.00,confetti for 6-13-19,spent
09-20-2020,26514.00,-122.00,antifreeze for 11-24-19,spent
09-20-2020,26316.00,-198.00,blanket for 3-6-19,spent
09-20-2020,26220.00,-96.00,groceries for 6-27-19,spent
09-20-2020,26099.00,-121.00,antifreeze for 12-16-19,spent
09-20-2020,25945.00,-154.00,car for 1-24-19,spent
09-20-2020,25762.00,-183.00,blanket for 8-24-19,spent
09-20-2020,25703.00,-59.00,confetti for 7-14-19,spent
09-20-2020,25528.00,-175.00,bills for 10-21-19,spent
09-20-2020,25460.00,-68.00,gas for 8-3-19,spent
09-20-2020,25260.00,-200.00,confetti for 10-19-19,spent
09-20-2020,25196.00,-64.00,hat for 6-26-19,spent
09-20-2020,25124.00,-72.00,book for 6-8-19,spent
09-20-2020,25049.00,-75.00,groceries for 8-23-19,spent
09-20-2020,24947.00,-102.00,groceries for 2-26-19,spent
09-20-2020,24809.00,-138.00,gas for 3-26-19,spent
09-20-2020,24630.00,-179.00,hat for 9-27-19,spent
09-20-2020,24506.00,-124.00,book for 9-16-19,spent
09-20-2020,24477.00,-29.00,hat for 6-2-19,spent
09-20-2020,24372.00,-105.00,antifreeze for 9-20-19,spent
09-20-2020,24176.00,-196.00,car for 8-24-19,spent
09-20-2020,24058.00,-118.00,gas for 6-21-19,spent
09-20-2020,23978.00,-80.00,hat for 5-20-19,spent
09-20-2020,23893.00,-85.00,gas for 5-26-19,spent
09-20-2020,23702.00,-191.00,gas for 10-4-19,spent
09-20-2020,23584.00,-118.00,book for 10-23-19,spent
09-20-2020,23431.00,-153.00,bills for 12-18-19,spent
09-20-2020,23424.00,-7.00,car for 9-23-19,spent
09-20-2020,23243.00,-181.00,car for 12-22-19,spent
09-20-2020,23343.00,100.00,refund for 3-10-19,received
09-20-2020,23505.00,162.00,work for 2-1-19,received
09-20-2020,23618.00,113.00,refund for 6-15-19,received
09-20-2020,23886.00,268.00,gift for 2-10-19,received
09-20-2020,24009.00,123.00,refund for 5-8-19,received
09-20-2020,24276.00,267.00,refund for 1-20-19,received
09-20-2020,24357.00,81.00,work for 11-14-19,received
09-20-2020,24611.00,254.00,gift for 1-26-19,received
09-20-2020,24827.00,216.00,gift for 1-15-19,received
09-20-2020,25114.00,287.00,refund for 1-23-19,received
09-20-2020,25398.00,284.00,work for 6-11-19,received
09-20-2020,25646.00,248.00,refund for 5-6-19,received
09-20-2020,25935.00,289.00,work for 11-5-19,received
09-20-2020,25998.00,63.00,gift for 1-24-19,received
09-20-2020,26192.00,194.00,gift for 4-2-19,received
09-20-2020,26310.00,118.00,gift for 5-18-19,received
09-20-2020,26435.00,125.00,work for 7-23-19,received
09-20-2020,26612.00,177.00,refund for 11-9-19,received
09-20-2020,26760.00,148.00,refund for 3-5-19,received
09-20-2020,26953.00,193.00,work for 11-25-19,received
09-20-2020,25953.00,-1000.00,rent for 1-1-20,spent
09-20-2020,28768.00,2815.00,work for 1-11-20,received
09-20-2020,27768.00,-1000.00,rent for 2-1-20,spent
09-20-2020,29848.00,2080.00,work for 2-11-20,received
09-20-2020,28848.00,-1000.00,rent for 3-1-20,spent
09-20-2020,31827.00,2979.00,work for 3-11-20,received
09-20-2020,30827.00,-1000.00,rent for 4-1-20,spent
09-20-2020,33358.00,2531.00,work for 4-11-20,received
09-20-2020,32358.00,-1000.00,rent for 5-1-20,spent
09-20-2020,34411.00,2053.00,work for 5-11-20,received
09-20-2020,33411.00,-1000.00,rent for 6-1-20,spent
09-20-2020,36133.00,2722.00,work for 6-11-20,received
09-20-2020,35133.00,-1000.00,rent for 7-1-20,spent
09-20-2020,37362.00,2229.00,work for 7-11-20,received
09-20-2020,36362.00,-1000.00,rent for 8-1-20,spent
09-20-2020,38976.00,2614.00,work for 8-11-20,received
09-20-2020,37976.00,-1000.00,rent for 9-1-20,spent
09-20-2020,40211.00,2235.00,work for 9-11-20,received
09-20-2020,39211.00,-1000.00,rent for 10-1-20,spent
09-20-2020,42100.00,2889.00,work for 10-11-20,received
09-20-2020,41100.00,-1000.00,rent for 11-1-20,spent
09-20-2020,43711.00,2611.00,work for 11-11-20,received
09-20-2020,42711.00,-1000.00,rent for 12-1-20,spent
09-20-2020,45577.00,2866.00,work for 12-11-20,received
09-20-2020,45415.00,-162.00,book for 1-25-20,spent
09-20-2020,45288.00,-127.00,book for 5-4-20,spent
09-20-2020,45255.00,-33.00,car for 6-24-20,spent
09-20-2020,45201.00,-54.00,confetti for 3-18-20,spent
09-20-2020,45040.00,-161.00,blanket for 10-9-20,spent
09-20-2020,44848.00,-192.00,bills for 2-8-20,spent
09-20-2020,44748.00,-100.00,antifreeze for 5-2-20,spent
09-20-2020,44647.00,-101.00,car for 9-10-20,spent
09-20-2020,44622.00,-25.00,hat for 9-4-20,spent
09-20-2020,44474.00,-148.00,hat for 4-12-20,spent
09-20-2020,44295.00,-179.00,confetti for 6-28-20,spent
09-20-2020,44203.00,-92.00,groceries for 1-17-20,spent
09-20-2020,44166.00,-37.00,gas for 11-27-20,spent
09-20-2020,44022.00,-144.00,car for 10-13-20,spent
09-20-2020,43855.00,-167.00,hat for 11-6-20,spent
09-20-2020,43813.00,-42.00,confetti for 4-13-20,spent
09-20-2020,43799.00,-14.00,gas for 5-10-20,spent
09-20-2020,43612.00,-187.00,confetti for 1-23-20,spent
09-20-2020,43571.00,-41.00,bills for 8-2-20,spent
09-20-2020,43502.00,-69.00,gas for 11-4-20,spent
09-20-2020,43367.00,-135.00,blanket for 12-17-20,spent
09-20-2020,43361.00,-6.00,book for 8-15-20,spent
09-20-2020,43286.00,-75.00,book for 10-3-20,spent
09-20-2020,43213.00,-73.00,hat for 6-21-20,spent
09-20-2020,43139.00,-74.00,hat for 5-4-20,spent
09-20-2020,42966.00,-173.00,bills for 10-8-20,spent
09-20-2020,42773.00,-193.00,hat for 4-11-20,spent
09-20-2020,42747.00,-26.00,bills for 9-5-20,spent
09-20-2020,42598.00,-149.00,book for 7-3-20,spent
09-20-2020,42525.00,-73.00,gas for 1-2-20,spent
09-20-2020,42361.00,-164.00,bills for 8-11-20,spent
09-20-2020,42236.00,-125.00,bills for 12-8-20,spent
09-20-2020,42176.00,-60.00,hat for 3-18-20,spent
09-20-2020,42132.00,-44.00,confetti for 2-7-20,spent
09-20-2020,42041.00,-91.00,gas for 9-2-20,spent
09-20-2020,41853.00,-188.00,gas for 12-2-20,spent
09-20-2020,41659.00,-194.00,confetti for 7-22-20,spent
09-20-2020,41606.00,-53.00,car for 8-17-20,spent
09-20-2020,41541.00,-65.00,groceries for 2-10-20,spent
09-20-2020,41466.00,-75.00,book for 10-24-20,spent
09-20-2020,41337.00,-129.00,confetti for 4-3-20,spent
09-20-2020,41278.00,-59.00,confetti for 5-20-20,spent
09-20-2020,41169.00,-109.00,confetti for 4-9-20,spent
09-20-2020,40976.00,-193.00,car for 11-14-20,spent
09-20-2020,40884.00,-92.00,bills for 10-5-20,spent
09-20-2020,40798.00,-86.00,groceries for 3-17-20,spent
09-20-2020,40599.00,-199.00,bills for 1-16-20,spent
09-20-2020,40555.00,-44.00,hat for 7-6-20,spent
09-20-2020,40382.00,-173.00,groceries for 10-2-20,spent
09-20-2020,40271.00,-111.00,antifreeze for 5-22-20,spent
09-20-2020,40083.00,-188.00,antifreeze for 4-2-20,spent
09-20-2020,39923.00,-160.00,groceries for 5-20-20,spent
09-20-2020,39740.00,-183.00,groceries for 10-12-20,spent
09-20-2020,39671.00,-69.00,car for 4-4-20,spent
09-20-2020,39533.00,-138.00,car for 3-2-20,spent
09-20-2020,39366.00,-167.00,confetti for 2-4-20,spent
09-20-2020,39354.00,-12.00,antifreeze for 12-26-20,spent
09-20-2020,39208.00,-146.00,blanket for 4-16-20,spent
09-20-2020,39160.00,-48.00,blanket for 10-8-20,spent
09-20-2020,39121.00,-39.00,groceries for 10-16-20,spent
09-20-2020,38932.00,-189.00,bills for 8-24-20,spent
09-20-2020,38767.00,-165.00,confetti for 8-18-20,spent
09-20-2020,38616.00,-151.00,confetti for 3-23-20,spent
09-20-2020,38599.00,-17.00,gas for 9-8-20,spent
09-20-2020,38518.00,-81.00,bills for 5-1-20,spent
09-20-2020,38408.00,-110.00,groceries for 3-17-20,spent
09-20-2020,38332.00,-76.00,gas for 7-28-20,spent
09-20-2020,38243.00,-89.00,antifreeze for 11-12-20,spent
09-20-2020,38182.00,-61.00,car for 8-21-20,spent
09-20-2020,38126.00,-56.00,antifreeze for 3-3-20,spent
09-20-2020,37990.00,-136.00,car for 2-3-20,spent
09-20-2020,37904.00,-86.00,hat for 3-14-20,spent
09-20-2020,37748.00,-156.00,gas for 5-9-20,spent
09-20-2020,37581.00,-167.00,car for 5-23-20,spent
09-20-2020,37487.00,-94.00,antifreeze for 11-25-20,spent
09-20-2020,37394.00,-93.00,car for 8-18-20,spent
09-20-2020,37282.00,-112.00,car for 8-19-20,spent
09-20-2020,37162.00,-120.00,antifreeze for 10-14-20,spent
09-20-2020,36973.00,-189.00,confetti for 9-21-20,spent
09-20-2020,36849.00,-124.00,book for 12-18-20,spent
09-20-2020,36752.00,-97.00,car for 3-2-20,spent
09-20-2020,36747.00,-5.00,antifreeze for 9-7-20,spent
09-20-2020,36659.00,-88.00,car for 12-21-20,spent
09-20-2020,36473.00,-186.00,hat for 2-18-20,spent
09-20-2020,36283.00,-190.00,antifreeze for 4-11-20,spent
09-20-2020,36192.00,-91.00,blanket for 8-2-20,spent
09-20-2020,36080.00,-112.00,car for 2-24-20,spent
09-20-2020,36005.00,-75.00,antifreeze for 1-28-20,spent
09-20-2020,35898.00,-107.00,confetti for 7-15-20,spent
09-20-2020,35780.00,-118.00,gas for 4-18-20,spent
09-20-2020,36020.00,240.00,gift for 8-17-20,received
09-20-2020,36134.00,114.00,gift for 7-9-20,received
09-20-2020,36243.00,109.00,gift for 11-10-20,received
09-20-2020,36465.00,222.00,refund for 5-9-20,received
09-20-2020,36530.00,65.00,work for 6-27-20,received
09-20-2020,36758.00,228.00,gift for 8-10-20,received
09-20-2020,36842.00,84.00,work for 7-13-20,received
09-20-2020,37080.00,238.00,refund for 11-10-20,received
09-20-2020,37187.00,107.00,work for 7-8-20,received
09-20-2020,37400.00,213.00,gift for 6-22-20,received
09-20-2020,37487.00,87.00,gift for 9-22-20,received
09-20-2020,37725.00,238.00,refund for 3-28-20,received
09-20-2020,37835.00,110.00,refund for 10-4-20,received
09-20-2020,38010.00,175.00,work for 3-1-20,received
09-20-2020,38161.00,151.00,work for 11-23-20,received
09-20-2020,38405.00,244.00,work for 7-28-20,received
09-20-2020,38695.00,290.00,gift for 4-9-20,received
09-20-2020,38938.00,243.00,refund for 7-1-20,received
09-20-2020,39079.00,141.00,gift for 3-8-20,received
09-20-2020,39148.00,69.00,work for 6-21-20,received
