Date Recorded,Date,Amount,Description,Category,(method of purchase)
09-20-2020,1-7-16,$40.00,bills,food,cash
09-20-2020,3-4-16,$187.00,bills,rent,cash
09-20-2020,9-23-16,$66.00,groceries,misc,cash
09-20-2020,10-9-16,$245.00,bills,rent,card
09-20-2020,9-4-16,$101.00,confetti,gifts,check
09-20-2020,10-20-16,$224.00,gas,misc,card
09-20-2020,11-7-16,$257.00,groceries,gifts,check
09-20-2020,7-19-16,$282.00,bills,car,cash
09-20-2020,3-16-16,$262.00,car,misc,smiles
09-20-2020,10-6-16,$156.00,hat,gifts,smiles
09-20-2020,8-23-16,$65.00,gas,car,smiles
09-20-2020,12-28-16,$13.00,gas,misc,check
09-20-2020,9-8-16,$185.00,antifreeze,misc,smiles
09-20-2020,7-6-16,$229.00,confetti,car,smiles
09-20-2020,4-19-16,$286.00,groceries,gifts,card
09-20-2020,6-13-16,$136.00,book,car,smiles
09-20-2020,1-18-16,$175.00,hat,misc,card
09-20-2020,6-21-16,$48.00,confetti,car,cash
09-20-2020,3-7-16,$220.00,blanket,food,smiles
09-20-2020,11-16-16,$67.00,hat,rent,smiles
09-20-2020,5-19-16,$220.00,groceries,food,smiles
09-20-2020,9-8-16,$54.00,gas,misc,check
09-20-2020,8-20-16,$52.00,groceries,food,check
09-20-2020,9-13-16,$111.00,hat,gifts,smiles
09-20-2020,4-24-16,$193.00,book,food,smiles
09-20-2020,4-5-16,$240.00,blanket,misc,check
09-20-2020,4-9-16,$129.00,confetti,car,check
09-20-2020,9-8-16,$253.00,antifreeze,food,smiles
09-20-2020,7-27-16,$170.00,hat,misc,check
09-20-2020,9-24-16,$12.00,antifreeze,misc,card
09-20-2020,8-22-16,$33.00,confetti,food,check
09-20-2020,6-12-16,$229.00,car,gifts,cash
09-20-2020,2-2-16,$194.00,groceries,rent,cash
09-20-2020,6-17-16,$43.00,confetti,car,card
09-20-2020,11-11-16,$235.00,blanket,rent,card
09-20-2020,2-7-16,$251.00,hat,rent,cash
09-20-2020,11-23-16,$191.00,gas,misc,card
09-20-2020,9-26-16,$121.00,groceries,rent,card
09-20-2020,10-12-16,$50.00,bills,rent,check
09-20-2020,6-13-16,$170.00,hat,food,cash
09-20-2020,3-11-16,$143.00,book,misc,cash
09-20-2020,4-21-16,$213.00,confetti,gifts,card
09-20-2020,10-21-16,$171.00,groceries,rent,smiles
09-20-2020,8-14-16,$143.00,car,misc,smiles
09-20-2020,11-10-16,$287.00,confetti,gifts,cash
09-20-2020,2-27-16,$78.00,car,car,cash
09-20-2020,9-6-16,$289.00,hat,car,card
09-20-2020,6-2-16,$225.00,blanket,food,cash
09-20-2020,12-13-16,$190.00,bills,misc,check
09-20-2020,12-18-16,$60.00,car,food,check
09-20-2020,10-2-16,$154.00,hat,car,card
09-20-2020,1-23-16,$225.00,blanket,rent,smiles
09-20-2020,5-27-16,$231.00,blanket,rent,smiles
09-20-2020,1-7-16,$74.00,car,car,cash
09-20-2020,1-4-16,$41.00,confetti,rent,card
09-20-2020,1-7-16,$39.00,gas,rent,check
09-20-2020,8-18-16,$62.00,book,rent,cash
09-20-2020,7-28-16,$99.00,blanket,car,check
09-20-2020,5-10-16,$13.00,groceries,gifts,smiles
09-20-2020,4-7-16,$288.00,hat,gifts,card
09-20-2020,2-24-16,$293.00,blanket,misc,cash
09-20-2020,11-22-16,$170.00,hat,car,card
09-20-2020,1-16-16,$285.00,confetti,gifts,check
09-20-2020,7-12-16,$89.00,gas,food,check
09-20-2020,1-7-16,$189.00,book,food,check
09-20-2020,2-1-16,$291.00,work,work
09-20-2020,12-7-16,$78.00,gift,work
09-20-2020,5-8-16,$207.00,gift,work
09-20-2020,6-11-16,$240.00,refund,other
09-20-2020,9-28-16,$326.00,work,other
09-20-2020,3-13-16,$194.00,gift,work
09-20-2020,6-9-16,$266.00,work,other
09-20-2020,3-16-16,$202.00,work,work
09-20-2020,10-18-16,$439.00,gift,other
09-20-2020,5-26-16,$439.00,gift,other
09-20-2020,7-8-16,$283.00,refund,work
09-20-2020,1-11-16,$216.00,gift,other
09-20-2020,9-18-16,$468.00,work,other
09-20-2020,7-1-16,$453.00,work,work
09-20-2020,8-15-16,$276.00,work,work
09-20-2020,8-22-16,$460.00,gift,work
09-20-2020,10-22-16,$124.00,work,other
09-20-2020,4-27-16,$247.00,work,other
09-20-2020,2-14-16,$169.00,work,other
09-20-2020,2-3-16,$414.00,work,other
09-20-2020,1-1-17,$1000.00,rent,rent,cash
09-20-2020,1-11-17,$2572.00,work,work
09-20-2020,2-1-17,$1000.00,rent,rent,smiles
09-20-2020,2-11-17,$1668.00,work,work
09-20-2020,3-1-17,$1000.00,rent,rent,smiles
09-20-2020,3-11-17,$2159.00,work,work
09-20-2020,4-1-17,$1000.00,rent,rent,card
09-20-2020,4-11-17,$1647.00,work,work
09-20-2020,5-1-17,$1000.00,rent,rent,card
09-20-2020,5-11-17,$1602.00,work,work
09-20-2020,6-1-17,$1000.00,rent,rent,cash
09-20-2020,6-11-17,$2783.00,work,work
09-20-2020,7-1-17,$1000.00,rent,rent,card
09-20-2020,7-11-17,$2379.00,work,work
09-20-2020,8-1-17,$1000.00,rent,rent,smiles
09-20-2020,8-11-17,$1714.00,work,work
09-20-2020,9-1-17,$1000.00,rent,rent,card
09-20-2020,9-11-17,$2534.00,work,work
09-20-2020,10-1-17,$1000.00,rent,rent,check
09-20-2020,10-11-17,$2208.00,work,work
09-20-2020,11-1-17,$1000.00,rent,rent,smiles
09-20-2020,11-11-17,$2618.00,work,work
09-20-2020,12-1-17,$1000.00,rent,rent,card
09-20-2020,12-11-17,$1767.00,work,work
09-20-2020,6-18-17,$114.00,groceries,misc,cash
09-20-2020,10-8-17,$138.00,groceries,misc,cash
09-20-2020,3-7-17,$153.00,bills,misc,cash
09-20-2020,5-28-17,$43.00,book,misc,check
09-20-2020,6-23-17,$230.00,blanket,food,cash
09-20-2020,7-3-17,$173.00,confetti,car,check
09-20-2020,11-26-17,$226.00,bills,food,smiles
09-20-2020,12-24-17,$267.00,groceries,misc,smiles
09-20-2020,6-10-17,$279.00,book,rent,smiles
09-20-2020,10-28-17,$29.00,antifreeze,food,smiles
09-20-2020,2-9-17,$291.00,gas,gifts,cash
09-20-2020,4-6-17,$110.00,gas,food,check
09-20-2020,6-28-17,$115.00,blanket,misc,card
09-20-2020,9-11-17,$60.00,confetti,food,cash
09-20-2020,10-24-17,$243.00,gas,food,smiles
09-20-2020,5-26-17,$176.00,blanket,gifts,card
09-20-2020,8-13-17,$21.00,book,gifts,smiles
09-20-2020,12-7-17,$132.00,groceries,car,smiles
09-20-2020,10-6-17,$23.00,car,gifts,smiles
09-20-2020,3-5-17,$21.00,car,misc,check
09-20-2020,5-17-17,$117.00,hat,rent,cash
09-20-2020,10-1-17,$91.00,blanket,car,cash
09-20-2020,5-12-17,$203.00,hat,car,check
09-20-2020,6-19-17,$189.00,bills,misc,smiles
09-20-2020,10-23-17,$142.00,gas,car,card
09-20-2020,8-4-17,$203.00,antifreeze,food,check
09-20-2020,6-15-17,$238.00,hat,rent,smiles
09-20-2020,9-5-17,$245.00,antifreeze,food,card
09-20-2020,11-10-17,$93.00,antifreeze,misc,check
09-20-2020,8-11-17,$253.00,groceries,car,cash
09-20-2020,11-19-17,$226.00,car,food,smiles
09-20-2020,9-28-17,$293.00,groceries,food,cash
09-20-2020,4-11-17,$163.00,gas,food,cash
09-20-2020,7-22-17,$59.00,car,food,card
09-20-2020,8-24-17,$175.00,hat,misc,cash
09-20-2020,11-17-17,$35.00,blanket,gifts,check
09-20-2020,10-25-17,$112.00,car,gifts,cash
09-20-2020,2-10-17,$157.00,gas,car,check
09-20-2020,6-12-17,$212.00,book,food,cash
09-20-2020,7-13-17,$272.00,car,rent,cash
09-20-2020,12-9-17,$89.00,bills,car,card
09-20-2020,5-14-17,$182.00,bills,rent,cash
09-20-2020,11-19-17,$228.00,bills,misc,card
09-20-2020,5-9-17,$155.00,gas,gifts,check
09-20-2020,1-21-17,$105.00,confetti,car,card
09-20-2020,5-20-17,$50.00,antifreeze,misc,cash
09-20-2020,12-1-17,$83.00,gas,rent,card
09-20-2020,5-7-17,$197.00,gas,car,smiles
09-20-2020,1-18-17,$278.00,confetti,gifts,card
09-20-2020,6-13-17,$253.00,car,car,cash
09-20-2020,12-4-17,$261.00,blanket,rent,smiles
09-20-2020,6-21-17,$265.00,groceries,food,card
09-20-2020,1-25-17,$7.00,blanket,misc,check
09-20-2020,1-16-17,$6.00,gas,car,smiles
09-20-2020,5-25-17,$120.00,antifreeze,car,smiles
09-20-2020,1-19-17,$174.00,car,misc,check
09-20-2020,1-5-17,$102.00,car,car,check
09-20-2020,2-22-17,$249.00,book,food,check
09-20-2020,1-27-17,$91.00,gas,car,smiles
09-20-2020,11-18-17,$290.00,confetti,gifts,card
09-20-2020,2-19-17,$167.00,gas,gifts,card
09-20-2020,11-17-17,$23.00,bills,rent,check
09-20-2020,10-12-17,$79.00,hat,car,check
09-20-2020,3-6-17,$239.00,antifreeze,gifts,smiles
09-20-2020,5-12-17,$117.00,antifreeze,food,cash
09-20-2020,10-23-17,$245.00,car,gifts,card
09-20-2020,5-14-17,$58.00,confetti,misc,cash
09-20-2020,1-2-17,$227.00,hat,food,check
09-20-2020,12-26-17,$69.00,blanket,gifts,cash
09-20-2020,3-7-17,$101.00,hat,gifts,cash
09-20-2020,8-16-17,$162.00,bills,misc,cash
09-20-2020,4-26-17,$211.00,blanket,car,smiles
09-20-2020,9-10-17,$157.00,book,food,check
09-20-2020,2-3-17,$123.00,blanket,car,check
09-20-2020,8-26-17,$210.00,gas,food,cash
09-20-2020,7-25-17,$20.00,blanket,gifts,check
09-20-2020,11-4-17,$297.00,hat,car,card
09-20-2020,12-28-17,$177.00,car,food,smiles
09-20-2020,8-8-17,$63.00,hat,food,card
09-20-2020,8-24-17,$201.00,gas,car,cash
09-20-2020,3-13-17,$183.00,bills,rent,card
09-20-2020,8-27-17,$109.00,confetti,rent,cash
09-20-2020,6-1-17,$100.00,car,gifts,card
09-20-2020,11-5-17,$140.00,confetti,food,card
09-20-2020,10-26-17,$221.00,hat,misc,smiles
09-20-2020,7-23-17,$288.00,car,car,cash
09-20-2020,5-4-17,$195.00,book,gifts,cash
09-20-2020,6-10-17,$284.00,book,rent,card
09-20-2020,10-15-17,$230.00,hat,food,cash
09-20-2020,4-4-17,$78.00,hat,misc,check
09-20-2020,10-25-17,$230.00,refund,work
09-20-2020,9-7-17,$316.00,gift,work
09-20-2020,6-20-17,$341.00,work,work
09-20-2020,5-1-17,$377.00,refund,other
09-20-2020,3-24-17,$468.00,gift,other
09-20-2020,1-21-17,$480.00,gift,work
09-20-2020,8-24-17,$399.00,refund,work
09-20-2020,6-25-17,$434.00,gift,work
09-20-2020,6-1-17,$446.00,work,other
09-20-2020,10-28-17,$417.00,gift,work
09-20-2020,6-3-17,$442.00,work,work
09-20-2020,5-6-17,$239.00,gift,other
09-20-2020,5-9-17,$97.00,work,work
09-20-2020,7-5-17,$149.00,work,work
09-20-2020,6-10-17,$454.00,refund,other
09-20-2020,10-5-17,$380.00,gift,work
09-20-2020,9-25-17,$424.00,gift,other
09-20-2020,6-20-17,$174.00,gift,other
09-20-2020,6-12-17,$136.00,gift,work
09-20-2020,7-25-17,$305.00,refund,work
09-20-2020,1-1-18,$1000.00,rent,rent,check
09-20-2020,1-11-18,$2082.00,work,work
09-20-2020,2-1-18,$1000.00,rent,rent,smiles
09-20-2020,2-11-18,$2846.00,work,work
09-20-2020,3-1-18,$1000.00,rent,rent,smiles
09-20-2020,3-11-18,$1587.00,work,work
09-20-2020,4-1-18,$1000.00,rent,rent,check
09-20-2020,4-11-18,$2685.00,work,work
09-20-2020,5-1-18,$1000.00,rent,rent,smiles
09-20-2020,5-11-18,$2217.00,work,work
09-20-2020,6-1-18,$1000.00,rent,rent,cash
09-20-2020,6-11-18,$1917.00,work,work
09-20-2020,7-1-18,$1000.00,rent,rent,smiles
09-20-2020,7-11-18,$2010.00,work,work
09-20-2020,8-1-18,$1000.00,rent,rent,card
09-20-2020,8-11-18,$2847.00,work,work
09-20-2020,9-1-18,$1000.00,rent,rent,card
09-20-2020,9-11-18,$2640.00,work,work
09-20-2020,10-1-18,$1000.00,rent,rent,smiles
09-20-2020,10-11-18,$2206.00,work,work
09-20-2020,11-1-18,$1000.00,rent,rent,smiles
09-20-2020,11-11-18,$2390.00,work,work
09-20-2020,12-1-18,$1000.00,rent,rent,smiles
09-20-2020,12-11-18,$2358.00,work,work
09-20-2020,7-24-18,$70.00,antifreeze,misc,cash
09-20-2020,9-18-18,$145.00,confetti,rent,check
09-20-2020,1-10-18,$22.00,book,rent,smiles
09-20-2020,2-13-18,$129.00,blanket,gifts,card
09-20-2020,7-28-18,$46.00,antifreeze,gifts,cash
09-20-2020,2-1-18,$292.00,book,rent,smiles
09-20-2020,11-18-18,$145.00,bills,car,cash
09-20-2020,12-5-18,$175.00,gas,rent,check
09-20-2020,6-5-18,$146.00,book,gifts,smiles
09-20-2020,12-12-18,$85.00,book,food,smiles
09-20-2020,5-3-18,$71.00,confetti,gifts,check
09-20-2020,2-23-18,$197.00,bills,food,card
09-20-2020,7-4-18,$35.00,groceries,gifts,cash
09-20-2020,3-9-18,$78.00,confetti,gifts,check
09-20-2020,1-4-18,$300.00,car,car,smiles
09-20-2020,11-27-18,$154.00,hat,gifts,check
09-20-2020,4-4-18,$232.00,groceries,rent,cash
09-20-2020,12-6-18,$290.00,book,car,cash
09-20-2020,12-17-18,$183.00,blanket,rent,card
09-20-2020,12-10-18,$147.00,bills,car,card
09-20-2020,6-17-18,$166.00,groceries,gifts,check
09-20-2020,10-14-18,$234.00,groceries,gifts,smiles
09-20-2020,5-21-18,$89.00,antifreeze,misc,card
09-20-2020,4-27-18,$198.00,hat,car,card
09-20-2020,8-7-18,$289.00,blanket,rent,smiles
09-20-2020,8-8-18,$118.00,gas,rent,cash
09-20-2020,10-5-18,$89.00,blanket,gifts,check
09-20-2020,7-14-18,$295.00,antifreeze,rent,card
09-20-2020,1-16-18,$275.00,car,rent,smiles
09-20-2020,11-10-18,$258.00,blanket,car,cash
09-20-2020,2-7-18,$51.00,antifreeze,rent,cash
09-20-2020,7-26-18,$83.00,antifreeze,food,smiles
09-20-2020,4-20-18,$50.00,book,gifts,smiles
09-20-2020,2-26-18,$117.00,antifreeze,misc,check
09-20-2020,11-3-18,$90.00,hat,car,cash
09-20-2020,1-22-18,$68.00,confetti,misc,check
09-20-2020,1-24-18,$158.00,blanket,food,card
09-20-2020,1-1-18,$152.00,bills,misc,smiles
09-20-2020,10-18-18,$39.00,hat,food,card
09-20-2020,7-14-18,$120.00,bills,misc,cash
09-20-2020,7-13-18,$32.00,gas,gifts,smiles
09-20-2020,6-23-18,$263.00,hat,rent,smiles
09-20-2020,5-25-18,$117.00,blanket,rent,smiles
09-20-2020,12-23-18,$284.00,hat,rent,cash
09-20-2020,9-9-18,$117.00,bills,car,smiles
09-20-2020,8-7-18,$169.00,gas,rent,check
09-20-2020,8-27-18,$74.00,hat,food,smiles
09-20-2020,3-5-18,$29.00,hat,food,card
09-20-2020,2-17-18,$36.00,bills,food,check
09-20-2020,8-23-18,$264.00,blanket,rent,card
09-20-2020,3-17-18,$186.00,book,misc,smiles
09-20-2020,2-21-18,$58.00,confetti,rent,card
09-20-2020,8-22-18,$300.00,book,food,smiles
09-20-2020,10-24-18,$139.00,bills,misc,card
09-20-2020,9-4-18,$239.00,bills,misc,card
09-20-2020,3-28-18,$240.00,antifreeze,misc,cash
09-20-2020,8-19-18,$182.00,gas,food,smiles
09-20-2020,8-13-18,$170.00,gas,rent,card
09-20-2020,10-13-18,$40.00,car,misc,card
09-20-2020,6-13-18,$155.00,antifreeze,gifts,card
09-20-2020,12-11-18,$234.00,groceries,rent,card
09-20-2020,1-7-18,$39.00,confetti,gifts,smiles
09-20-2020,4-11-18,$252.00,gas,car,check
09-20-2020,5-21-18,$233.00,groceries,misc,card
09-20-2020,8-11-18,$9.00,blanket,rent,check
09-20-2020,2-1-18,$162.00,gas,misc,card
09-20-2020,4-15-18,$63.00,hat,misc,smiles
09-20-2020,2-9-18,$7.00,confetti,gifts,cash
09-20-2020,12-28-18,$17.00,gas,rent,cash
09-20-2020,11-14-18,$272.00,confetti,gifts,card
09-20-2020,4-18-18,$183.00,book,gifts,cash
09-20-2020,6-14-18,$294.00,car,rent,check
09-20-2020,11-18-18,$50.00,gas,car,smiles
09-20-2020,12-19-18,$84.00,gas,rent,check
09-20-2020,4-16-18,$41.00,car,rent,cash
09-20-2020,6-22-18,$63.00,car,car,check
09-20-2020,12-4-18,$156.00,book,misc,cash
09-20-2020,9-14-18,$170.00,groceries,car,card
09-20-2020,10-13-18,$170.00,gas,car,check
09-20-2020,11-20-18,$296.00,blanket,car,card
09-20-2020,9-3-18,$112.00,groceries,car,smiles
09-20-2020,3-19-18,$162.00,hat,gifts,cash
09-20-2020,8-8-18,$56.00,hat,car,card
09-20-2020,7-26-18,$270.00,confetti,gifts,cash
09-20-2020,12-4-18,$130.00,confetti,food,smiles
09-20-2020,6-10-18,$106.00,bills,car,card
09-20-2020,8-15-18,$32.00,bills,gifts,check
09-20-2020,11-7-18,$151.00,car,food,card
09-20-2020,3-4-18,$195.00,car,gifts,cash
09-20-2020,11-1-18,$282.00,antifreeze,food,cash
09-20-2020,2-7-18,$297.00,gift,work
09-20-2020,10-18-18,$435.00,work,work
09-20-2020,8-28-18,$398.00,work,work
09-20-2020,3-23-18,$494.00,gift,work
09-20-2020,1-1-18,$417.00,refund,other
09-20-2020,5-12-18,$123.00,work,work
09-20-2020,11-11-18,$367.00,gift,work
09-20-2020,11-18-18,$198.00,work,other
09-20-2020,7-28-18,$361.00,work,other
09-20-2020,6-15-18,$455.00,refund,work
09-20-2020,10-21-18,$90.00,refund,other
09-20-2020,4-25-18,$51.00,refund,other
09-20-2020,6-13-18,$491.00,gift,other
09-20-2020,9-12-18,$456.00,refund,work
09-20-2020,2-21-18,$292.00,work,other
09-20-2020,5-26-18,$92.00,work,work
09-20-2020,10-23-18,$354.00,refund,work
09-20-2020,10-25-18,$89.00,refund,other
09-20-2020,9-3-18,$305.00,work,work
09-20-2020,5-13-18,$390.00,gift,other
09-20-2020,1-1-19,$1000.00,rent,rent,cash
09-20-2020,1-11-19,$2126.00,work,work
09-20-2020,2-1-19,$1000.00,rent,rent,smiles
09-20-2020,2-11-19,$1853.00,work,work
09-20-2020,3-1-19,$1000.00,rent,rent,card
09-20-2020,3-11-19,$2856.00,work,work
09-20-2020,4-1-19,$1000.00,rent,rent,check
09-20-2020,4-11-19,$2866.00,work,work
09-20-2020,5-1-19,$1000.00,rent,rent,card
09-20-2020,5-11-19,$2278.00,work,work
09-20-2020,6-1-19,$1000.00,rent,rent,smiles
09-20-2020,6-11-19,$2233.00,work,work
09-20-2020,7-1-19,$1000.00,rent,rent,check
09-20-2020,7-11-19,$2210.00,work,work
09-20-2020,8-1-19,$1000.00,rent,rent,smiles
09-20-2020,8-11-19,$2454.00,work,work
09-20-2020,9-1-19,$1000.00,rent,rent,check
09-20-2020,9-11-19,$2116.00,work,work
09-20-2020,10-1-19,$1000.00,rent,rent,card
09-20-2020,10-11-19,$2638.00,work,work
09-20-2020,11-1-19,$1000.00,rent,rent,card
09-20-2020,11-11-19,$1512.00,work,work
09-20-2020,12-1-19,$1000.00,rent,rent,check
09-20-2020,12-11-19,$2136.00,work,work
09-20-2020,12-24-19,$59.00,car,misc,check
09-20-2020,2-24-19,$192.00,confetti,gifts,cash
09-20-2020,2-25-19,$231.00,bills,car,smiles
09-20-2020,4-15-19,$168.00,book,misc,smiles
09-20-2020,4-27-19,$85.00,car,food,cash
09-20-2020,6-11-19,$127.00,confetti,misc,smiles
09-20-2020,3-9-19,$64.00,car,food,check
09-20-2020,7-19-19,$244.00,blanket,misc,check
09-20-2020,12-2-19,$271.00,book,car,card
09-20-2020,1-19-19,$275.00,book,food,smiles
09-20-2020,10-15-19,$133.00,hat,rent,cash
09-20-2020,3-12-19,$223.00,groceries,rent,card
09-20-2020,7-23-19,$28.00,antifreeze,gifts,smiles
09-20-2020,3-9-19,$193.00,blanket,gifts,card
09-20-2020,4-22-19,$26.00,antifreeze,misc,smiles
09-20-2020,6-20-19,$267.00,groceries,misc,check
09-20-2020,8-3-19,$244.00,confetti,food,card
09-20-2020,2-10-19,$94.00,gas,food,cash
09-20-2020,5-5-19,$258.00,book,rent,card
09-20-2020,7-9-19,$261.00,antifreeze,car,card
09-20-2020,5-2-19,$78.00,hat,gifts,check
09-20-2020,9-10-19,$195.00,antifreeze,rent,cash
09-20-2020,10-10-19,$138.00,blanket,gifts,check
09-20-2020,4-15-19,$32.00,hat,car,smiles
09-20-2020,1-20-19,$262.00,antifreeze,gifts,check
09-20-2020,12-22-19,$10.00,hat,car,smiles
09-20-2020,12-4-19,$62.00,confetti,car,card
09-20-2020,1-28-19,$196.00,car,food,card
09-20-2020,11-10-19,$197.00,confetti,rent,check
09-20-2020,12-1-19,$254.00,car,food,check
09-20-2020,6-14-19,$164.00,blanket,misc,smiles
09-20-2020,4-12-19,$34.00,gas,rent,cash
09-20-2020,7-14-19,$139.00,bills,food,smiles
09-20-2020,8-15-19,$218.00,bills,gifts,cash
09-20-2020,6-1-19,$17.00,gas,car,cash
09-20-2020,3-18-19,$167.00,gas,car,cash
09-20-2020,3-20-19,$64.00,bills,misc,cash
09-20-2020,1-22-19,$120.00,hat,rent,check
09-20-2020,8-14-19,$245.00,blanket,misc,smiles
09-20-2020,4-15-19,$196.00,gas,food,cash
09-20-2020,6-6-19,$285.00,book,car,smiles
09-20-2020,11-9-19,$300.00,blanket,misc,check
09-20-2020,6-2-19,$114.00,book,misc,card
09-20-2020,2-2-19,$145.00,gas,food,card
09-20-2020,3-3-19,$35.00,car,rent,cash
09-20-2020,4-15-19,$199.00,confetti,misc,card
09-20-2020,4-18-19,$41.00,car,car,check
09-20-2020,8-11-19,$35.00,gas,car,check
09-20-2020,11-15-19,$285.00,car,misc,check
09-20-2020,11-10-19,$74.00,bills,food,smiles
09-20-2020,2-15-19,$250.00,bills,misc,check
09-20-2020,1-14-19,$154.00,antifreeze,misc,smiles
09-20-2020,8-22-19,$222.00,blanket,food,smiles
09-20-2020,3-13-19,$232.00,groceries,food,smiles
09-20-2020,6-5-19,$135.00,bills,gifts,cash
09-20-2020,6-28-19,$13.00,groceries,car,cash
09-20-2020,12-28-19,$189.00,bills,car,cash
09-20-2020,11-23-19,$141.00,blanket,food,check
09-20-2020,5-15-19,$24.00,confetti,rent,check
09-20-2020,2-23-19,$139.00,confetti,car,card
09-20-2020,4-11-19,$223.00,confetti,car,cash
09-20-2020,7-18-19,$78.00,antifreeze,rent,check
09-20-2020,9-20-19,$289.00,confetti,gifts,cash
09-20-2020,7-2-19,$131.00,gas,misc,card
09-20-2020,10-10-19,$138.00,antifreeze,food,check
09-20-2020,1-28-19,$210.00,bills,rent,check
09-20-2020,11-9-19,$128.00,car,rent,card
09-20-2020,10-12-19,$100.00,blanket,gifts,cash
09-20-2020,10-25-19,$267.00,blanket,misc,cash
09-20-2020,4-27-19,$26.00,book,gifts,card
09-20-2020,5-6-19,$34.00,confetti,food,check
09-20-2020,10-20-19,$142.00,antifreeze,food,smiles
09-20-2020,12-18-19,$155.00,antifreeze,gifts,cash
09-20-2020,1-18-19,$287.00,hat,misc,smiles
09-20-2020,11-1-19,$37.00,groceries,misc,smiles
09-20-2020,9-18-19,$115.00,groceries,food,smiles
09-20-2020,7-20-19,$168.00,book,food,smiles
09-20-2020,4-25-19,$63.00,hat,rent,cash
09-20-2020,9-8-19,$78.00,book,food,check
09-20-2020,12-4-19,$39.00,book,rent,cash
09-20-2020,11-15-19,$214.00,confetti,car,smiles
09-20-2020,12-9-19,$206.00,antifreeze,misc,check
09-20-2020,10-23-19,$103.00,car,rent,cash
09-20-2020,6-7-19,$48.00,blanket,car,check
09-20-2020,5-28-19,$175.00,car,misc,check
09-20-2020,4-1-19,$34.00,gas,car,card
09-20-2020,7-19-19,$260.00,gas,rent,smiles
09-20-2020,10-26-19,$271.00,antifreeze,food,smiles
09-20-2020,11-17-19,$9.00,car,food,check
09-20-2020,5-26-19,$108.00,bills,gifts,check
09-20-2020,6-13-19,$372.00,refund,other
09-20-2020,4-25-19,$476.00,gift,other
09-20-2020,8-8-19,$213.00,refund,other
09-20-2020,3-13-19,$213.00,gift,work
09-20-2020,4-25-19,$313.00,work,work
09-20-2020,5-19-19,$404.00,refund,work
09-20-2020,2-20-19,$180.00,refund,other
09-20-2020,11-3-19,$392.00,work,other
09-20-2020,2-3-19,$255.00,gift,work
09-20-2020,8-1-19,$363.00,work,other
09-20-2020,9-21-19,$383.00,gift,other
09-20-2020,5-9-19,$327.00,gift,other
09-20-2020,2-23-19,$243.00,refund,work
09-20-2020,5-17-19,$125.00,work,work
09-20-2020,6-18-19,$274.00,refund,work
09-20-2020,2-28-19,$360.00,refund,other
09-20-2020,2-15-19,$63.00,gift,work
09-20-2020,7-21-19,$309.00,refund,work
09-20-2020,7-2-19,$267.00,work,work
